model,category,Platinum,Gold,Silver,Bronze,Catastrophic
Adult,MAGE_LAST_21_24,0.167,0.117,0.077,0.048,0.047
Adult,MAGE_LAST_25_29,0.170,0.119,0.078,0.048,0.047
Adult,MAGE_LAST_30_34,0.202,0.144,0.098,0.062,0.061
Adult,MAGE_LAST_35_39,0.225,0.161,0.108,0.066,0.065
Adult,MAGE_LAST_40_44,0.263,0.193,0.134,0.087,0.085
Adult,MAGE_LAST_45_49,0.292,0.216,0.152,0.100,0.098
Adult,MAGE_LAST_50_54,0.377,0.292,0.221,0.162,0.160
Adult,MAGE_LAST_55_59,0.429,0.335,0.257,0.192,0.190
Adult,MAGE_LAST_60_GT,0.487,0.384,0.297,0.225,0.223
Adult,FAGE_LAST_21_24,0.256,0.182,0.121,0.074,0.072
Adult,FAGE_LAST_25_29,0.281,0.201,0.135,0.083,0.081
Adult,FAGE_LAST_30_34,0.352,0.263,0.189,0.130,0.128
Adult,FAGE_LAST_35_39,0.420,0.323,0.243,0.179,0.177
Adult,FAGE_LAST_40_44,0.474,0.369,0.281,0.210,0.207
Adult,FAGE_LAST_45_49,0.481,0.372,0.279,0.200,0.198
Adult,FAGE_LAST_50_54,0.529,0.418,0.321,0.239,0.236
Adult,FAGE_LAST_55_59,0.503,0.391,0.293,0.211,0.209
Adult,FAGE_LAST_60_GT,0.517,0.402,0.301,0.216,0.213
Adult,HHS_HCC001,0.829,0.716,0.653,0.616,0.615
Adult,HHS_HCC002,8.980,8.746,8.638,8.584,8.583
Adult,HHS_HCC003,8.324,8.186,8.104,8.035,8.032
Adult,HHS_HCC004,8.298,8.153,8.058,7.974,7.971
Adult,HHS_HCC006,7.834,7.759,7.677,7.583,7.579
Adult,HHS_HCC008,23.677,23.226,23.131,23.140,23.141
Adult,HHS_HCC009,14.216,13.902,13.805,13.768,13.767
Adult,HHS_HCC010,5.954,5.752,5.654,5.582,5.580
Adult,HHS_HCC011,3.670,3.467,3.358,3.273,3.270
Adult,HHS_HCC012,2.483,2.332,2.238,2.161,2.159
Adult,HHS_HCC013,1.038,0.931,0.823,0.718,0.714
Adult,HHS_HCC018,5.932,5.949,5.984,6.020,6.021
Adult,HHS_HCC019,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC020,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC021,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC022,0.330,0.300,0.259,0.200,0.198
Adult,HHS_HCC023,10.838,10.695,10.619,10.566,10.564
Adult,HHS_HCC026,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC027,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC029,7.481,7.364,7.303,7.253,7.252
Adult,HHS_HCC030,1.453,1.360,1.287,1.216,1.214
Adult,HHS_HCC034,6.091,6.067,5.984,6.020,6.021
Adult,HHS_HCC035_1,7.212,7.015,6.944,6.918,6.917
