model,category,Platinum,Gold,Silver,Bronze,Catastrophic
Adult,MAGE_LAST_21_24,0.189,0.13,0.09,0.062,0.056
Adult,MAGE_LAST_25_29,0.194,0.13,0.087,0.057,0.051
Adult,MAGE_LAST_30_34,0.223,0.155,0.106,0.07,0.063
Adult,MAGE_LAST_35_39,0.244,0.171,0.118,0.078,0.07
Adult,MAGE_LAST_40_44,0.277,0.2,0.142,0.097,0.088
Adult,MAGE_LAST_45_49,0.314,0.233,0.171,0.123,0.114
Adult,MAGE_LAST_50_54,0.374,0.286,0.218,0.165,0.154
Adult,MAGE_LAST_55_59,0.416,0.321,0.249,0.19,0.178
Adult,MAGE_LAST_60_GT,0.462,0.359,0.279,0.214,0.201
Adult,FAGE_LAST_21_24,0.285,0.199,0.131,0.083,0.073
Adult,FAGE_LAST_25_29,0.312,0.218,0.143,0.089,0.078
Adult,FAGE_LAST_30_34,0.377,0.277,0.198,0.139,0.126
Adult,FAGE_LAST_35_39,0.428,0.325,0.245,0.181,0.169
Adult,FAGE_LAST_40_44,0.478,0.372,0.287,0.217,0.203
Adult,FAGE_LAST_45_49,0.484,0.375,0.287,0.213,0.199
Adult,FAGE_LAST_50_54,0.509,0.398,0.305,0.228,0.212
Adult,FAGE_LAST_55_59,0.469,0.359,0.268,0.192,0.176
Adult,FAGE_LAST_60_GT,0.459,0.347,0.254,0.177,0.161
Adult,HHS_HCC001,0.099,0.068,0.054,0.036,0.034
Adult,HHS_HCC002,8.766,8.566,8.518,8.426,8.424
Adult,HHS_HCC003,7.893,7.795,7.749,7.676,7.664
Adult,HHS_HCC004,7.677,7.574,7.524,7.445,7.432
Adult,HHS_HCC006,8.503,8.454,8.401,8.325,8.307
Adult,HHS_HCC008,22.556,22.166,22.14,22.021,22.026
Adult,HHS_HCC009,12.533,12.261,12.214,12.096,12.09
Adult,HHS_HCC010,5.518,5.344,5.279,5.166,5.153
Adult,HHS_HCC011,3.718,3.537,3.464,3.342,3.327
Adult,HHS_HCC012,2.398,2.267,2.201,2.101,2.087
Adult,HHS_HCC013,0.97,0.88,0.794,0.688,0.669
Adult,HHS_HCC018,0,0,0,0,0
Adult,HHS_HCC019,0,0,0,0,0
Adult,HHS_HCC020,0,0,0,0,0
Adult,HHS_HCC021,0,0,0,0,0
Adult,HHS_HCC022,0.224,0.2,0.163,0.098,0.083
Adult,HHS_HCC023,10.679,10.56,10.519,10.45,10.442
Adult,HHS_HCC026,0,0,0,0,0
Adult,HHS_HCC027,0,0,0,0,0
Adult,HHS_HCC029,6.052,5.952,5.913,5.847,5.839
Adult,HHS_HCC030,1.275,1.202,1.151,1.078,1.064
Adult,HHS_HCC034,5.773,5.835,5.893,5.974,5.987
Adult,HHS_HCC035_1,6.999,6.814,6.775,6.698,6.699
Adult,HHS_HCC035_2,2.216,2.054,2.014,1.929,1.923
Adult,HHS_HCC036,0.668,0.588,0.545,0.477,0.467
Adult,HHS_HCC037_1,0.532,0.472,0.424,0.371,0.364
Adult,HHS_HCC037_2,0.532,0.472,0.424,0.371,0.364
Adult,HHS_HCC041,5.773,5.835,5.893,5.974,5.987
Adult,HHS_HCC042,10.678,10.534,10.53,10.49,10.492
Adult,HHS_HCC045,4.905,4.7,4.637,4.515,4.505
Adult,HHS_HCC046,2.257,2.089,2.039,1.946,1.94
Adult,HHS_HCC047,2.257,2.089,2.039,1.946,1.94
Adult,HHS_HCC048,1.984,1.889,1.81,1.686,1.659
Adult,HHS_HCC054,7.353,7.203,7.177,7.118,7.115
Adult,HHS_HCC055,4.336,4.166,4.139,4.076,4.076
Adult,HHS_HCC056,1.22,1.126,1.066,0.987,0.974
Adult,HHS_HCC057,0.36,0.294,0.219,0.123,0.103
Adult,HHS_HCC061,0,0,0,0,0
Adult,HHS_HCC062,0,0,0,0,0
Adult,HHS_HCC063,0.719,0.618,0.554,0.469,0.457
Adult,HHS_HCC066,73.946,73.657,73.627,73.535,73.539
Adult,HHS_HCC067,0,0,0,0,0
Adult,HHS_HCC068,0,0,0,0,0
Adult,HHS_HCC069,0,0,0,0,0
Adult,HHS_HCC070,1.694,1.605,1.548,1.475,1.464
Adult,HHS_HCC071,1.653,1.584,1.537,1.475,1.464
Adult,HHS_HCC073,0,0,0,0,0
Adult,HHS_HCC074,0,0,0,0,0
Adult,HHS_HCC075,2.132,2.052,2.004,1.932,1.921
Adult,HHS_HCC081,0,0,0,0,0
Adult,HHS_HCC082,0,0,0,0,0
Adult,HHS_HCC083,0,0,0,0,0
Adult,HHS_HCC084,0,0,0,0,0
Adult,HHS_HCC087_1,2.216,2.05,1.969,1.845,1.829
Adult,HHS_HCC087_2,2.101,1.942,1.857,1.719,1.7
Adult,HHS_HCC088,0.92,0.826,0.742,0.632,0.611
Adult,HHS_HCC090,0.636,0.563,0.473,0.366,0.342
Adult,HHS_HCC094,1.899,1.795,1.727,1.625,1.607
Adult,HHS_HCC096,9.089,9.062,9.032,8.996,8.984
Adult,HHS_HCC097,0.818,0.757,0.711,0.654,0.644
Adult,HHS_HCC102,0.683,0.609,0.525,0.431,0.411
Adult,HHS_HCC103,0.636,0.563,0.473,0.366,0.342
Adult,HHS_HCC106,0,0,0,0,0
Adult,HHS_HCC107,0,0,0,0,0
Adult,HHS_HCC108,0,0,0,0,0
Adult,HHS_HCC109,0,0,0,0,0
Adult,HHS_HCC110,4.884,4.706,4.655,4.552,4.543
Adult,HHS_HCC111,4.963,4.82,4.753,4.64,4.624
Adult,HHS_HCC112,0.615,0.527,0.462,0.366,0.35
Adult,HHS_HCC113,0.339,0.274,0.221,0.149,0.135
Adult,HHS_HCC114,1.165,1.083,1.027,0.937,0.921
Adult,HHS_HCC115,5.056,4.973,4.956,4.917,4.915
Adult,HHS_HCC117,0,0,0,0,0
Adult,HHS_HCC118,2.667,2.537,2.48,2.384,2.371
Adult,HHS_HCC119,0,0,0,0,0
Adult,HHS_HCC120,0.94,0.851,0.787,0.697,0.682
Adult,HHS_HCC121,9.455,9.363,9.316,9.245,9.234
