model,category,Platinum,Gold,Silver,Bronze,Catastrophic
Adult,MAGE_LAST_21_24,0.189,0.121,0.080,0.052,0.051
Adult,MAGE_LAST_25_29,0.192,0.120,0.078,0.049,0.047
Adult,MAGE_LAST_30_34,0.223,0.145,0.097,0.062,0.061
Adult,MAGE_LAST_35_39,0.244,0.159,0.105,0.065,0.064
Adult,MAGE_LAST_40_44,0.280,0.189,0.129,0.083,0.082
Adult,MAGE_LAST_45_49,0.309,0.211,0.147,0.097,0.095
Adult,MAGE_LAST_50_54,0.391,0.284,0.213,0.157,0.155
Adult,MAGE_LAST_55_59,0.441,0.325,0.246,0.185,0.183
Adult,MAGE_LAST_60_GT,0.493,0.366,0.279,0.211,0.209
Adult,FAGE_LAST_21_24,0.286,0.186,0.121,0.075,0.073
Adult,FAGE_LAST_25_29,0.307,0.199,0.129,0.078,0.076
Adult,FAGE_LAST_30_34,0.373,0.257,0.180,0.122,0.120
Adult,FAGE_LAST_35_39,0.440,0.317,0.234,0.172,0.170
Adult,FAGE_LAST_40_44,0.497,0.368,0.279,0.210,0.207
Adult,FAGE_LAST_45_49,0.501,0.368,0.276,0.201,0.198
Adult,FAGE_LAST_50_54,0.544,0.407,0.309,0.230,0.227
Adult,FAGE_LAST_55_59,0.512,0.376,0.278,0.199,0.196
Adult,FAGE_LAST_60_GT,0.511,0.372,0.271,0.190,0.188
Adult,HHS_HCC001,0.610,0.495,0.426,0.382,0.380
Adult,HHS_HCC002,9.632,9.382,9.265,9.203,9.202
Adult,HHS_HCC003,8.965,8.831,8.747,8.678,8.675
Adult,HHS_HCC004,8.914,8.769,8.675,8.592,8.589
Adult,HHS_HCC006,8.576,8.501,8.427,8.333,8.329
Adult,HHS_HCC008,24.525,24.081,23.916,23.899,23.899
Adult,HHS_HCC009,13.190,12.873,12.733,12.672,12.670
Adult,HHS_HCC010,6.042,5.834,5.716,5.631,5.628
Adult,HHS_HCC011,3.876,3.663,3.536,3.439,3.436
Adult,HHS_HCC012,2.622,2.463,2.358,2.273,2.271
Adult,HHS_HCC013,1.054,0.935,0.827,0.717,0.714
Adult,HHS_HCC018,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC019,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC020,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC021,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC022,0.380,0.339,0.303,0.234,0.231
Adult,HHS_HCC023,11.879,11.731,11.645,11.587,11.585
Adult,HHS_HCC026,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC027,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC029,6.954,6.830,6.758,6.702,6.700
Adult,HHS_HCC030,1.446,1.351,1.278,1.204,1.201
Adult,HHS_HCC034,6.481,6.531,6.579,6.647,6.649
Adult,HHS_HCC035_1,7.706,7.500,7.402,7.365,7.367
Adult,HHS_HCC035_2,2.506,2.315,2.223,2.167,2.166
Adult,HHS_HCC036,0.706,0.607,0.537,0.466,0.463
Adult,HHS_HCC037_1,0.528,0.451,0.389,0.324,0.322
Adult,HHS_HCC037_2,0.528,0.451,0.389,0.324,0.322
Adult,HHS_HCC041,11.558,11.539,11.535,11.546,11.546
Adult,HHS_HCC042,11.889,11.691,11.610,11.582,11.581
Adult,HHS_HCC045,5.323,5.085,4.970,4.891,4.890
Adult,HHS_HCC046,2.842,2.639,2.547,2.497,2.497
Adult,HHS_HCC047,2.842,2.624,2.517,2.427,2.425
Adult,HHS_HCC048,0.469,0.365,0.266,0.146,0.142
Adult,HHS_HCC054,9.611,9.426,9.345,9.332,9.332
Adult,HHS_HCC055,5.113,4.911,4.827,4.805,4.804
Adult,HHS_HCC056,1.073,0.964,0.876,0.795,0.792
Adult,HHS_HCC057,0.467,0.376,0.280,0.173,0.168
Adult,HHS_HCC061,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC062,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC063,1.395,1.258,1.174,1.102,1.100
Adult,HHS_HCC066,74.006,73.673,73.537,73.513,73.514
Adult,HHS_HCC067,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC068,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC069,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC070,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC071,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC073,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC074,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC075,2.211,2.111,2.041,1.976,1.974
Adult,HHS_HCC081,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC082,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC083,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC084,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC087_1,2.423,2.222,2.100,1.990,1.988
Adult,HHS_HCC087_2,2.407,2.208,2.086,1.969,1.966
Adult,HHS_HCC088,1.097,0.972,0.866,0.752,0.748
Adult,HHS_HCC090,0.777,0.675,0.568,0.452,0.448
Adult,HHS_HCC094,2.296,2.160,2.060,1.969,1.965
Adult,HHS_HCC096,8.822,8.772,8.724,8.674,8.671
Adult,HHS_HCC097,1.212,1.128,1.063,1.003,1.001
Adult,HHS_HCC102,0.871,0.770,0.669,0.571,0.567
Adult,HHS_HCC103,0.777,0.675,0.568,0.452,0.448
Adult,HHS_HCC106,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC107,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC108,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC109,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC110,5.642,5.424,5.314,5.240,5.238
Adult,HHS_HCC111,5.761,5.574,5.459,5.348,5.345
Adult,HHS_HCC112,0.915,0.782,0.690,0.593,0.590
Adult,HHS_HCC113,0.603,0.508,0.433,0.350,0.347
Adult,HHS_HCC114,1.376,1.266,1.184,1.094,1.091
Adult,HHS_HCC115,5.550,5.444,5.393,5.365,5.364
Adult,HHS_HCC117,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC118,1.790,1.656,1.563,1.474,1.471
Adult,HHS_HCC119,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC120,1.167,1.050,0.963,0.871,0.868
Adult,HHS_HCC121,10.740,10.618,10.534,10.464,10.461
Adult,HHS_HCC122,11.024,10.847,10.738,10.657,10.654
Adult,HHS_HCC123,4.582,4.419,4.310,4.218,4.215
Adult,HHS_HCC125,21.711,21.476,21.356,21.292,21.293
Adult,HHS_HCC126,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC127,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC128,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC129,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC130,2.114,2.006,1.943,1.890,1.889
Adult,HHS_HCC131,5.710,5.437,5.334,5.318,5.319
Adult,HHS_HCC132,4.333,4.076,3.969,3.906,3.906
Adult,HHS_HCC135,9.550,9.428,9.336,9.245,9.241
Adult,HHS_HCC137,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC138,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC139,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC142,2.068,1.940,1.846,1.747,1.749
Adult,HHS_HCC145,11.501,11.303,11.199,11.134,11.132
Adult,HHS_HCC146,1.589,1.449,1.381,1.325,1.324
Adult,HHS_HCC149,2.506,2.361,2.270,2.182,2.178
Adult,HHS_HCC150,3.702,3.558,3.501,3.483,3.483
Adult,HHS_HCC151,2.759,2.625,2.548,2.482,2.481
Adult,HHS_HCC153,8.513,8.338,8.287,8.310,8.312
Adult,HHS_HCC154,5.876,5.705,5.617,5.563,5.561
Adult,HHS_HCC156,8.158,8.045,7.945,7.831,7.827
Adult,HHS_HCC158,11.241,11.061,10.970,10.928,10.928
Adult,HHS_HCC159,4.651,4.456,4.346,4.270,4.268
Adult,HHS_HCC160,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC161_1,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC161_2,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC162,1.669,1.555,1.476,1.396,1.394
Adult,HHS_HCC163,6.800,6.776,6.772,6.785,6.786
Adult,HHS_HCC174,1.410,1.250,1.133,1.006,1.002
Adult,HHS_HCC183,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC184,22.616,22.143,22.091,22.024,21.952
Adult,HHS_HCC187,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC188,0.000,0.000,0.000,0.000,0.000
Adult,HHS_HCC203,2.101,1.869,1.688,1.453,1.446
